series,c1,c2,T,split,name1,name2,fp_unifac_do,fp_cosmosac2010,fp_cosmosac_dsp,fp_Z0,fp_Z1,fp_Z0e,fp_Z0s,fp_Z0x,fp_hanna
j.jct.2012.03.016.xml#8#T#273.2,LIKMAJRDDDTEIG-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N,273.15,train,1-hexene,methyl tert-butyl ether,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je800888n.xml#2#T#273.2,FERIUCNNQQJTOY-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,273.15,test_one,butanoic acid,toluene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2013.03.020.xml#6#T#273.2,UEEJHVSXFDXPFK-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,273.15,train,N-(2-hydroxyethyl)dimethylamine,water,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
je401123k.xml#3#T#273.2,QYSGYZVSCZSLHT-UHFFFAOYSA-N,BCCOBQSFUDVTJQ-UHFFFAOYSA-N,273.15,train,octafluoropropane,octafluorocyclobutane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je060184i.xml#4#T#273.2,YKYONYBAUNKHLG-UHFFFAOYSA-N,IMNFDUFMRHMDMM-UHFFFAOYSA-N,273.15,train,propyl ethanoate,heptane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je060184i.xml#8#T#273.2,YKYONYBAUNKHLG-UHFFFAOYSA-N,LIKMAJRDDDTEIG-UHFFFAOYSA-N,273.15,train,propyl ethanoate,1-hexene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2010.10.022.xml#7#T#273.2,YKYONYBAUNKHLG-UHFFFAOYSA-N,DQQNMIPXXNPGCV-UHFFFAOYSA-N,273.15,train,propyl ethanoate,3-hexyne,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2013.09.046.xml#9#T#273.2,PEDCQBHIVMGVHV-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,273.15,test_one,glycerol,ethanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2013.09.046.xml#10#T#273.2,PEDCQBHIVMGVHV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,273.15,test_one,glycerol,water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2011.07.002.xml#2#T#278.2,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,WEEGYLXZBRQIMU-UHFFFAOYSA-N,278.15,test_one,ethanol,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",,0.0,0.0,0.0,0.0,,,,0.0
je020110g.xml#3#T#278.2,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,MPPPKRYCTPRNTB-UHFFFAOYSA-N,278.15,test_one,2-methyl-1-propanol,1-bromobutane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je300736k.xml#2#T#278.2,BDERNNFJNOPAEC-UHFFFAOYSA-N,WEEGYLXZBRQIMU-WAAGHKOSSA-N,278.15,train,propan-1-ol,"1,8-cineole",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je200011e.xml#2#T#278.2,LRHPLDYGYMQRHN-UHFFFAOYSA-N,WEEGYLXZBRQIMU-WAAGHKOSSA-N,278.15,train,butan-1-ol,"1,8-cineole",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2010.07.008.xml#1#T#283.2,WGQKYBSKWIADBV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,283.15,train,benzylamine,water,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
je049824c.xml#1#T#283.2,LPEKGGXMPWTOCB-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,283.15,test_one,"propanoic acid, 2-hydroxy-, methyl ester",water,1.0,0.0,0.0,0.0,0.0,,,,0.0
je800530u.xml#6#T#283.2,HZAXFHJVJLSVMW-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,283.15,train,2-aminoethanol,water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2003.09.009.xml#4#T#283.2,VFWCMGCRMGJXDK-UHFFFAOYSA-N,MWKFXSUHUHTGQN-UHFFFAOYSA-N,283.15,test_one,1-chlorobutane,1-decanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2005.06.003.xml#4#T#283.2,WYURNTSHIVDZCO-UHFFFAOYSA-N,CYTYCFOTNPOANT-UHFFFAOYSA-N,283.15,test_one,tetrahydrofuran,tetrachloroethene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2005.06.003.xml#3#T#283.2,QPFMBZIOSGYJDE-UHFFFAOYSA-N,WYURNTSHIVDZCO-UHFFFAOYSA-N,283.15,test_one,"1,1,2,2-tetrachloroethane",tetrahydrofuran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je030168a.xml#6#T#283.2,MPPPKRYCTPRNTB-UHFFFAOYSA-N,MWKFXSUHUHTGQN-UHFFFAOYSA-N,283.15,test_one,1-bromobutane,1-decanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je500116z.xml#8#T#288.2,VLKZOEOYAKHREP-UHFFFAOYSA-N,NBRKLOOSMBRFMH-UHFFFAOYSA-N,288.15,train,n-hexane,2-chloro-2-methylpropane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je500116z.xml#6#T#288.2,VLKZOEOYAKHREP-UHFFFAOYSA-N,QTBFPMKWQKYFLR-UHFFFAOYSA-N,288.15,test_one,n-hexane,1-chloro-2-methylpropane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je800591u.xml#4#T#288.2,VQTUBCCKSQIDNK-UHFFFAOYSA-N,YFMFNYKEUDLDTL-UHFFFAOYSA-N,288.15,train,2-methylpropene,2H-perfluoropropane,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2015.09.031.xml#7#T#288.2,BSPCSKHALVHRSR-UHFFFAOYSA-N,IMNFDUFMRHMDMM-UHFFFAOYSA-N,288.15,train,2-chlorobutane,n-heptane,0.0,0.0,0.0,0.0,0.0,,,,0.0
j.fluid.2015.09.031.xml#5#T#288.2,VFWCMGCRMGJXDK-UHFFFAOYSA-N,IMNFDUFMRHMDMM-UHFFFAOYSA-N,288.15,train,1-chlorobutane,n-heptane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je500116z.xml#4#T#288.2,BSPCSKHALVHRSR-UHFFFAOYSA-N,VLKZOEOYAKHREP-UHFFFAOYSA-N,288.15,train,2-chlorobutane,n-hexane,0.0,0.0,0.0,0.0,0.0,,,,0.0
j.jct.2010.04.015.xml#2#T#293.2,CBTVGIZVANVGBH-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,293.15,train,2-amino-2-methyl-1-propanol,water,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
j.jct.2010.12.010.xml#10#T#293.2,PIICEJLVQHRZGT-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,293.15,train,ethylenediamine,water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2010.12.010.xml#13#T#293.2,KIDHWZJUCRJVML-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,293.15,test_one,"1,4-butanediamine",water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2010.12.010.xml#12#T#293.2,XFNJVJPLKCPIBV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,293.15,train,"1,3-diaminopropane",water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2010.12.010.xml#11#T#293.2,AOHJOMMDDJHIJH-VKHMYHEASA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,293.15,test_one,"1,2-propanediamine",water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2005.07.016.xml#7#T#298.2,UOCLXMDMGBRAIB-UHFFFAOYSA-N,BGTOWKSIORTVQH-UHFFFAOYSA-N,298.15,train,"1,1,1-trichloroethane",cyclopentanone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2014.05.031.xml#2#T#298.2,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,QTBSBXVTEAMEQO-UHFFFAOYSA-N,298.15,test_one,ethanol,acetic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2006.10.024.xml#16#T#298.2,RYHBNJHYFVUHQT-UHFFFAOYSA-N,SQCZQTSHSZLZIQ-UHFFFAOYSA-N,298.15,test_one,"1,4-dioxane",1-chloropentane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je034278t.xml#1#T#298.2,CCAFPWNGIUBUSD-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,298.15,train,diethyl sulfoxide,water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.tca.2011.07.023.xml#20#T#298.2,IMNFDUFMRHMDMM-UHFFFAOYSA-N,SNMVRZFUUCLYTO-UHFFFAOYSA-N,298.15,train,heptane,1-chloropropane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je050317k.xml#14#T#298.2,IAYPIBMASNFSPL-UHFFFAOYSA-N,NNPPMTNAJDCUHE-UHFFFAOYSA-N,298.15,train,oxirane,2-methylpropane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.tca.2011.07.023.xml#15#T#298.2,VLKZOEOYAKHREP-UHFFFAOYSA-N,SNMVRZFUUCLYTO-UHFFFAOYSA-N,298.15,train,n-hexane,1-chloropropane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2010.06.007.xml#6#T#298.2,HEDRZPFGACZZDS-UHFFFAOYSA-N,XDTMQSROBMDMFD-UHFFFAOYSA-N,298.15,train,chloroform,cyclohexane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2007.03.008.xml#13#T#298.2,BGTOWKSIORTVQH-UHFFFAOYSA-N,YHRUOJUYPBUZOS-UHFFFAOYSA-N,298.15,train,cyclopentanone,"1,3-dichloropropane",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2008.03.017.xml#12#T#298.2,DHXVGJBLRPWPCS-UHFFFAOYSA-N,MLRVZFYXUZQSRU-UHFFFAOYSA-N,298.15,train,tetrahydropyran,1-chlorohexane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2007.03.008.xml#14#T#298.2,KJDRSWPQXHESDQ-UHFFFAOYSA-N,BGTOWKSIORTVQH-UHFFFAOYSA-N,298.15,train,"1,4-dichlorobutane",cyclopentanone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2008.02.018.xml#13#T#298.2,HEDRZPFGACZZDS-UHFFFAOYSA-N,BGTOWKSIORTVQH-UHFFFAOYSA-N,298.15,train,chloroform,cyclopentanone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2008.02.018.xml#14#T#298.2,HEDRZPFGACZZDS-UHFFFAOYSA-N,JHIVVAPYMSGYDF-UHFFFAOYSA-N,298.15,train,chloroform,cyclohexanone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2010.06.007.xml#3#T#298.2,HEDRZPFGACZZDS-UHFFFAOYSA-N,WYURNTSHIVDZCO-UHFFFAOYSA-N,298.15,train,chloroform,tetramethylene oxide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2010.04.017.xml#3#T#298.2,WYURNTSHIVDZCO-UHFFFAOYSA-N,SNMVRZFUUCLYTO-UHFFFAOYSA-N,298.15,train,tetrahydrofuran,1-chloropropane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2005.07.016.xml#6#T#298.2,WSLDOOZREJYCGB-UHFFFAOYSA-N,BGTOWKSIORTVQH-UHFFFAOYSA-N,298.15,train,"1,2-dichloroethane",cyclopentanone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2007.03.008.xml#12#T#298.2,VFWCMGCRMGJXDK-UHFFFAOYSA-N,BGTOWKSIORTVQH-UHFFFAOYSA-N,298.15,train,1-chlorobutane,cyclopentanone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je800557h.xml#5#T#298.2,WEVYAHXRMPXWCK-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,298.15,train,acetonitrile,water,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2006.10.024.xml#14#T#298.2,SQCZQTSHSZLZIQ-UHFFFAOYSA-N,WNXJIVFYUVYPPR-UHFFFAOYSA-N,298.15,test_both,1-chloropentane,"1,3-dioxolane",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je050473r.xml#8#T#303.2,WSLDOOZREJYCGB-UHFFFAOYSA-N,KFUSEUYYWQURPO-OWOJBTEDSA-N,303.15,train,"1,2-dichloroethane","(E)-1,2-dichloroethene",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je060150a.xml#11#T#303.2,HEDRZPFGACZZDS-UHFFFAOYSA-N,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,303.15,train,chloroform,butanone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je100821g.xml#8#T#303.2,HEDRZPFGACZZDS-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N,303.15,train,chloroform,methyl tert-butyl ether,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2008.02.016.xml#3#T#303.2,POAOYUHQDCAZBD-UHFFFAOYSA-N,IMNFDUFMRHMDMM-UHFFFAOYSA-N,303.15,train,2-butoxyethanol,heptane,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
j.jct.2008.02.016.xml#2#T#303.2,VLKZOEOYAKHREP-UHFFFAOYSA-N,POAOYUHQDCAZBD-UHFFFAOYSA-N,303.15,train,hexane,2-butoxyethanol,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
j.jct.2015.02.006.xml#3#T#303.2,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,GOOHAUXETOMSMM-UHFFFAOYSA-N,303.15,train,ethanol,propylene oxide,0.0,0.0,0.0,0.0,0.0,,,,0.0
j.jct.2015.02.006.xml#4#T#303.2,BDERNNFJNOPAEC-UHFFFAOYSA-N,GOOHAUXETOMSMM-UHFFFAOYSA-N,303.15,train,1-propanol,propylene oxide,0.0,0.0,0.0,0.0,0.0,,,,0.0
j.jct.2015.11.021.xml#2#T#303.2,IJDNQMDRQITEOD-UHFFFAOYSA-N,MSSNHSVIGIHOJA-UHFFFAOYSA-N,303.15,test_one,n-butane,"1,1,1,3,3-pentafluoropropane",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je034153o.xml#4#T#303.2,VZGDMQKNWNREIO-UHFFFAOYSA-N,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,303.15,test_one,carbon tetrachloride,"ethanol, 2-ethoxy-",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je034153o.xml#5#T#303.2,HEDRZPFGACZZDS-UHFFFAOYSA-N,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,303.15,train,chloroform,"ethanol, 2-ethoxy-",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je034153o.xml#6#T#303.2,YMWUJEATGCHHMB-UHFFFAOYSA-N,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,303.15,test_one,dichloromethane,"ethanol, 2-ethoxy-",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2008.01.030.xml#12#T#307.9,QMMFVYPAHWMCMS-UHFFFAOYSA-N,NNPPMTNAJDCUHE-UHFFFAOYSA-N,307.86,train,2-thiapropane,2-methylpropane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je101343m.xml#7#T#308.1,YTPLMLYBLZKORZ-UHFFFAOYSA-N,VQTUBCCKSQIDNK-UHFFFAOYSA-N,308.12,train,thiophene,2-methylpropene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je101343m.xml#8#T#308.1,YTPLMLYBLZKORZ-UHFFFAOYSA-N,IAQRGUVFOMOMEM-ONEGZZNKSA-N,308.14,train,thiophene,trans-2-butene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je101343m.xml#6#T#308.1,NNPPMTNAJDCUHE-UHFFFAOYSA-N,YTPLMLYBLZKORZ-UHFFFAOYSA-N,308.14,train,"propane, 2-methyl-",thiophene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je049867t.xml#7#T#308.2,YXFVVABEGXRONW-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N,308.15,train,toluene,methyl tert-butyl ether,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.tca.2010.07.027.xml#16#T#308.2,RNVCVTLRINQCPJ-UHFFFAOYSA-N,WNXJIVFYUVYPPR-UHFFFAOYSA-N,308.15,test_both,2-methylaniline,"1,3-dioxolane",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je1005196.xml#23#T#308.2,WGQKYBSKWIADBV-UHFFFAOYSA-N,DHXVGJBLRPWPCS-UHFFFAOYSA-N,308.15,train,phenylmethylamine,tetrahydropyran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je1005196.xml#27#T#308.2,RNVCVTLRINQCPJ-UHFFFAOYSA-N,DHXVGJBLRPWPCS-UHFFFAOYSA-N,308.15,test_one,2-methylaniline,tetrahydropyran,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.tca.2010.07.027.xml#12#T#308.2,WGQKYBSKWIADBV-UHFFFAOYSA-N,WNXJIVFYUVYPPR-UHFFFAOYSA-N,308.15,test_one,phenylmethylamine,"1,3-dioxolane",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.tca.2010.07.027.xml#8#T#308.2,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,WNXJIVFYUVYPPR-UHFFFAOYSA-N,308.15,test_both,aniline,"1,3-dioxolane",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2015.03.023.xml#22#T#308.2,FJBFPHVGVWTDIP-UHFFFAOYSA-N,JPOXNPPZZKNXOV-UHFFFAOYSA-N,308.15,test_both,dibromomethane,bromochloromethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2015.09.031.xml#9#T#308.2,IMNFDUFMRHMDMM-UHFFFAOYSA-N,QTBFPMKWQKYFLR-UHFFFAOYSA-N,308.15,test_one,n-heptane,1-chloro-2-methylpropane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2008.02.018.xml#12#T#308.2,WSLDOOZREJYCGB-UHFFFAOYSA-N,JHIVVAPYMSGYDF-UHFFFAOYSA-N,308.15,train,"1,2-dichloroethane",cyclohexanone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2012.01.020.xml#2#T#308.2,XEKOWRVHYACXOJ-UHFFFAOYSA-N,NHTMVDHEPJAVLT-UHFFFAOYSA-N,308.15,train,ethyl acetate,isooctane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je101343m.xml#5#T#308.2,IJDNQMDRQITEOD-UHFFFAOYSA-N,YTPLMLYBLZKORZ-UHFFFAOYSA-N,308.15,train,n-butane,thiophene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je1005196.xml#19#T#308.2,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,DHXVGJBLRPWPCS-UHFFFAOYSA-N,308.15,test_one,aniline,tetrahydropyran,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2008.01.030.xml#7#T#312.6,QMMFVYPAHWMCMS-UHFFFAOYSA-N,VXNZUUAINFGPBY-UHFFFAOYSA-N,312.58,test_one,2-thiapropane,1-butene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2008.01.030.xml#8#T#312.6,QMMFVYPAHWMCMS-UHFFFAOYSA-N,IAQRGUVFOMOMEM-ARJAWSKDSA-N,312.59,test_one,2-thiapropane,cis-2-butene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2008.01.030.xml#10#T#312.6,QMMFVYPAHWMCMS-UHFFFAOYSA-N,VQTUBCCKSQIDNK-UHFFFAOYSA-N,312.6,train,2-thiapropane,2-methylpropene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2010.09.023.xml#16#T#312.9,FVSKHRXBFJPNKK-UHFFFAOYSA-N,NUMQCACRALPSHD-UHFFFAOYSA-N,312.86,test_one,propanenitrile,"ethyl 1,1-dimethylethyl ether",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je060253t.xml#3#T#313.2,BDERNNFJNOPAEC-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N,313.15,train,1-propanol,methyl tert-butyl ether,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je0602115.xml#4#T#313.2,YXFVVABEGXRONW-UHFFFAOYSA-N,IMNFDUFMRHMDMM-UHFFFAOYSA-N,313.15,train,toluene,heptane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2014.10.016.xml#4#T#313.2,NHTMVDHEPJAVLT-UHFFFAOYSA-N,JYVLIDXNZAXMDK-YFKPBYRVSA-N,313.15,train,"2,2,4-trimethylpentane",2-pentanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je0602115.xml#5#T#313.2,YXFVVABEGXRONW-UHFFFAOYSA-N,NUMQCACRALPSHD-UHFFFAOYSA-N,313.15,test_one,toluene,tert-butyl ethyl ether,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je00840e.xml#8#T#313.2,LRHPLDYGYMQRHN-UHFFFAOYSA-N,SNRUBQQJIBEYMU-UHFFFAOYSA-N,313.15,test_one,n-butyl alcohol,n-dodecane,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
je00840e.xml#7#T#313.2,LRHPLDYGYMQRHN-UHFFFAOYSA-N,NHTMVDHEPJAVLT-UHFFFAOYSA-N,313.15,train,n-butyl alcohol,isooctane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je00840e.xml#6#T#313.2,LRHPLDYGYMQRHN-UHFFFAOYSA-N,IMNFDUFMRHMDMM-UHFFFAOYSA-N,313.15,train,n-butyl alcohol,heptane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2012.01.007.xml#0#T#313.2,AMQJEAYHLZJPGS-UHFFFAOYSA-N,XDTMQSROBMDMFD-UHFFFAOYSA-N,313.15,test_one,1-pentanol,cyclohexane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je0602115.xml#3#T#313.2,IMNFDUFMRHMDMM-UHFFFAOYSA-N,NUMQCACRALPSHD-UHFFFAOYSA-N,313.15,test_one,heptane,tert-butyl ethyl ether,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.jct.2004.07.012.xml#11#T#313.2,BDERNNFJNOPAEC-UHFFFAOYSA-N,IBYHHJPAARCAIE-UHFFFAOYSA-N,313.15,test_one,1-propanol,1-bromo-2-chloroethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j.fluid.2015.07.049.xml#3#T#313.2,IMNFDUFMRHMDMM-UHFFFAOYSA-N,NHTMVDHEPJAVLT-UHFFFAOYSA-N,313.15,train,heptane,"2,2,4-trimethylpentane",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
je025660t.xml#4#T#313.2,WEVYAHXRMPXWCK-UHFFFAOYSA-N,FVSKHRXBFJPNKK-UHFFFAOYSA-N,313.15,train,acetonitrile,propanenitrile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
